index,if_anomaly,lof_anomaly,consensus_and,consensus_or,consensus_label_and,consensus_label_or
lqtrung1998/Codellama-7b-hf-ReFT-GSM8k,False,False,False,False,1,1
llm-agents/tora-code-7b-v1.0,False,False,False,False,1,1
llm-agents/tora-code-34b-v1.0,False,False,False,False,1,1
llm-agents/tora-code-13b-v1.0,False,False,False,False,1,1
deepseek-ai/deepseek-coder-6.7b-instruct,False,False,False,False,1,1
deepseek-ai/deepseek-coder-6.7b-base,False,False,False,False,1,1
deepseek-ai/deepseek-coder-1.3b-instruct,False,False,False,False,1,1
deepseek-ai/deepseek-coder-7b-instruct-v1.5,False,False,False,False,1,1
bullerwins/Codestral-22B-v0.1-hf,False,False,False,False,1,1
budecosystem/code-millenials-34b,False,False,False,False,1,1
codeparrot/codeparrot,False,False,False,False,1,1
codemateai/CodeMate-v0.1,False,False,False,False,1,1
codellama/CodeLlama-7b-Python-hf,False,False,False,False,1,1
codellama/CodeLlama-70b-Python-hf,False,False,False,False,1,1
codellama/CodeLlama-34b-Python-hf,False,False,False,False,1,1
codellama/CodeLlama-13b-Python-hf,False,False,False,False,1,1
google/codegemma-7b-it,False,False,False,False,1,1
google/codegemma-7b,False,False,False,False,1,1
google/codegemma-2b,False,False,False,False,1,1
glaiveai/glaive-coder-7b,False,False,False,False,1,1
ed001/datascience-coder-6.7b,False,False,False,False,1,1
fhai50032/RP-Coder-SM3,False,False,False,False,1,1
stabilityai/stable-code-3b,False,False,False,False,1,1
speechlessai/speechless-codellama-airoboros-orca-platypus-13b,False,False,False,False,1,1
speechlessai/speechless-codellama-34b-v1.0,False,False,False,False,1,1
tyson0420/stack_codellama-7b-inst,False,False,False,False,1,1
rombodawg/test_dataset_Codellama-3-8B,False,False,False,False,1,1
rombodawg/Llama-3-8B-Instruct-Coder,False,False,False,False,1,1
rombodawg/Llama-3-8B-Base-Coder-v3.5-10k,False,False,False,False,1,1
rombodawg/Everyone-Coder-4x7b-Base,False,False,False,False,1,1
shareAI/CodeLLaMA-chat-13b-Chinese,False,False,False,False,1,1
sethuiyer/CodeCalc-Mistral-7B,False,False,False,False,1,1
senseable/33x-coder,False,False,False,False,1,1
uukuguy/speechless-zephyr-code-functionary-7b,False,False,False,False,1,1
uukuguy/speechless-tora-code-7b-v1.0,False,False,False,False,1,1
uukuguy/speechless-codellama-platypus-13b,False,False,False,False,1,1
uukuguy/speechless-codellama-orca-platypus-13b-0.10e,False,False,False,False,1,1
uukuguy/speechless-codellama-orca-airoboros-13b-0.10e,False,False,False,False,1,1
uukuguy/speechless-codellama-orca-13b,False,False,False,False,1,1
uukuguy/speechless-codellama-dolphin-orca-platypus-34b,False,False,False,False,1,1
uukuguy/speechless-codellama-34b-v2.0,False,False,False,False,1,1
uukuguy/speechless-codellama-34b-v1.9,False,False,False,False,1,1
uukuguy/speechless-code-mistral-orca-7b-v1.0,False,False,False,False,1,1
uukuguy/speechless-code-mistral-7b-v2.0,False,False,False,False,1,1
uukuguy/speechless-code-mistral-7b-v1.0,False,False,False,False,1,1
uukuguy/speechless-coder-ds-1.3b,False,False,False,False,1,1
uukuguy/speechless-coder-ds-6.7b,False,False,False,False,1,1
uukuguy/speechless-mistral-hermes-code-7b,False,False,False,False,1,1
rombodawg/Everyone-Coder-33b-Base,False,False,False,False,1,1
mwitiderrick/open_llama_3b_code_instruct_0.1,False,False,False,False,1,1
mrm8488/llama-2-coder-7b,False,False,False,False,1,1
mwitiderrick/open_llama_3b_glaive_code_v0.1,False,False,False,False,1,1
nextai-team/Moe-4x7b-reason-code-qa,False,False,False,False,1,1
nextai-team/Moe-3x7b-QA-Code-Inst,False,False,False,False,1,1
nextai-team/Moe-2x7b-QA-Code,False,False,False,False,1,1
mahiatlinux/MasherAI-v6.1-7B-checkpoint3-code4,False,False,False,False,1,1
microsoft/CodeGPT-small-py,False,False,False,False,1,1
qualis2006/llama-2-7b-int4-python-code-18k,False,False,False,False,1,1
raincandy-u/Coder1.8-ORPO-TEST,False,False,False,False,1,1
oobabooga/CodeBooga-34B-v0.1,False,False,False,False,1,1
OpenAssistant/codellama-13b-oasst-sft-v10,False,False,False,False,1,1
OpenBuddy/openbuddy-codellama2-34b-v11.1-bf16,False,False,False,False,1,1
Phind/Phind-CodeLlama-34B-v2,False,False,False,False,1,1
Phind/Phind-CodeLlama-34B-v1,False,False,False,False,1,1
Phind/Phind-CodeLlama-34B-Python-v1,False,False,False,False,1,1
Plaban81/Moe-4x7b-math-reason-code,False,False,False,False,1,1
Sharathhebbar24/code_gpt2_mini_model,False,False,False,False,1,1
Sharathhebbar24/code_gpt2,False,False,False,False,1,1
Ramikan-BR/tinyllama-coder-py-4bit-v3,False,False,False,False,1,1
Ramikan-BR/tinyllama_PY-CODER-4bit-lora_4k-v5,False,False,False,False,1,1
Ramikan-BR/tinyllama_PY-CODER-4bit-lora_4k-v12,False,False,False,False,1,1
Ramikan-BR/tinyllama-coder-py-v14,False,False,False,False,1,1
Ramikan-BR/tinyllama-coder-py-v13,False,False,False,False,1,1
Ramikan-BR/tinyllama-coder-py-v12,False,False,False,False,1,1
Ramikan-BR/tinyllama-coder-py-4bit-v4,False,False,False,False,1,1
Ramikan-BR/tinyllama-coder-py-4bit-v10,False,False,False,False,1,1
Salesforce/codegen-6B-nl,False,False,False,False,1,1
Salesforce/codegen-6B-multi,False,False,False,False,1,1
Salesforce/codegen-16B-nl,False,False,False,False,1,1
HenryJJ/Instruct_Yi-6B_Dolly_CodeAlpaca,False,False,False,False,1,1
InnerI/I-Code-NousLlama7B-slerp,False,False,False,False,1,1
MAISAAI/gemma-2b-coder,False,False,False,False,1,1
ajibawa-2023/OpenHermes-2.5-Code-290k-13B,False,False,False,False,1,1
ajibawa-2023/Python-Code-33B,False,False,False,False,1,1
ajibawa-2023/Python-Code-13B,False,False,False,False,1,1
ajibawa-2023/Code-Mistral-7B,False,False,False,False,1,1
ajibawa-2023/Code-Llama-3-8B,False,False,False,False,1,1
ajibawa-2023/Code-290k-6.7B-Instruct,False,False,False,False,1,1
ajibawa-2023/Code-290k-13B,False,False,False,False,1,1
ajibawa-2023/Code-13B,False,False,False,False,1,1
beowolx/CodeNinja-1.0-OpenChat-7B,False,False,False,False,1,1
beowolx/MistralHermes-CodePro-7B-v1,False,False,False,False,1,1
altomek/CodeRosa-70B-AB1,False,False,False,False,1,1
Undi95/Nous-Hermes-13B-Code,False,False,False,False,1,1
Undi95/CodeEngine,False,False,False,False,1,1
TheBloke/CodeLlama-34B-Python-fp16,False,False,False,False,1,1
TheBloke/CodeLlama-13B-Instruct-fp16,False,False,False,False,1,1
TheBloke/CodeLlama-13B-Python-fp16,False,False,False,False,1,1
TheBloke/CodeLlama-34B-Instruct-fp16,False,False,False,False,1,1
CodeLlama-70b-Instruct-hf,False,False,False,False,1,1
CodeLlama-34b-hf,False,False,False,False,1,1
CodeLlama-13b-hf,False,False,False,False,1,1
CodeLlama-7b-hf,False,False,False,False,1,1
speechless-codellama-dolphin-orca-platypus-13b,False,False,False,False,1,1
